iter	Passed	Remaining
0	2	2670
1	5	2606
2	8	2681
3	12	3013
4	17	3442
5	20	3356
6	22	3235
7	24	3080
8	26	2964
9	30	3045
10	33	3026
11	35	2961
12	38	2891
13	40	2840
14	42	2792
15	45	2786
16	47	2746
17	49	2703
18	51	2665
19	53	2628
20	55	2597
21	57	2572
22	60	2582
23	63	2564
24	65	2547
25	67	2529
26	69	2512
27	71	2497
28	74	2482
29	78	2546
30	81	2548
31	83	2529
32	85	2514
33	87	2499
34	90	2487
35	92	2477
36	94	2463
37	96	2450
38	98	2438
39	101	2425
40	103	2414
41	105	2406
42	108	2406
43	110	2404
44	112	2396
45	115	2386
46	117	2375
47	119	2365
48	121	2357
49	123	2349
50	125	2342
51	128	2335
52	130	2327
53	132	2319
54	134	2312
55	136	2308
56	139	2310
57	141	2304
58	143	2296
59	146	2290
60	148	2283
61	149	2265
62	152	2271
63	155	2271
64	158	2284
65	161	2281
66	163	2282
67	166	2280
68	169	2284
69	171	2279
70	173	2274
71	176	2268
72	178	2262
73	180	2257
74	182	2252
75	185	2256
76	187	2251
77	189	2244
78	192	2238
79	194	2232
80	196	2226
81	198	2221
82	201	2228
83	203	2222
84	205	2216
85	207	2209
86	209	2203
87	212	2198
88	214	2192
89	217	2201
90	220	2198
91	222	2195
92	224	2191
93	226	2185
94	228	2179
95	231	2177
96	233	2174
97	235	2168
98	237	2165
99	240	2160
100	242	2155
101	244	2150
102	246	2148
103	248	2144
104	251	2139
105	253	2134
106	254	2128
107	257	2122
108	259	2118
109	261	2112
110	264	2114
111	266	2110
112	268	2105
113	270	2100
114	272	2095
115	274	2090
116	276	2086
117	279	2090
118	280	2079
119	283	2076
120	285	2073
121	287	2070
122	289	2066
123	292	2064
124	295	2069
125	298	2071
126	301	2070
127	303	2068
128	306	2068
129	309	2071
130	312	2074
131	315	2073
132	318	2073
133	320	2072
134	323	2072
135	326	2076
136	331	2087
137	334	2086
138	336	2085
139	339	2084
140	342	2089
141	345	2089
142	348	2088
143	351	2086
144	353	2086
145	356	2087
146	359	2086
147	362	2085
148	364	2083
149	367	2082
150	372	2092
151	374	2091
152	377	2088
153	379	2085
154	382	2083
155	384	2080
156	387	2079
157	389	2077
158	392	2073
159	394	2070
160	396	2067
161	399	2064
162	401	2061
163	405	2065
164	407	2063
165	410	2061
166	412	2058
167	414	2054
168	417	2054
169	422	2061
170	425	2064
171	428	2060
172	430	2059
173	433	2058
174	436	2059
175	439	2059
176	442	2056
177	444	2053
178	447	2054
179	451	2054
180	453	2052
181	455	2049
182	458	2047
183	461	2044
184	463	2042
185	467	2047
186	470	2044
187	472	2041
188	474	2037
189	477	2035
190	480	2034
191	483	2033
192	485	2030
193	488	2027
194	490	2023
195	492	2020
196	494	2016
197	497	2015
198	499	2012
199	502	2008
200	504	2005
201	506	2001
202	509	1999
203	512	1999
204	514	1996
205	517	1993
206	519	1989
207	521	1985
208	524	1983
209	526	1982
210	530	1983
211	532	1980
212	534	1976
213	537	1973
214	539	1969
215	541	1966
216	545	1966
217	547	1964
218	549	1960
219	552	1957
220	554	1954
221	556	1951
222	560	1954
223	563	1951
224	565	1948
225	567	1945
226	570	1942
227	572	1938
228	575	1937
229	577	1934
230	580	1933
231	583	1930
232	585	1927
233	589	1929
234	592	1927
235	594	1925
236	597	1922
237	599	1919
238	601	1915
239	603	1911
240	607	1913
241	609	1909
242	611	1906
243	614	1902
244	616	1899
245	618	1895
246	621	1895
247	624	1893
248	628	1896
249	631	1895
250	634	1893
251	637	1890
252	639	1887
253	642	1885
254	644	1882
