iter	Passed	Remaining
0	23	23161
1	33	16477
2	42	14037
3	51	12823
4	60	12077
5	71	11774
6	80	11377
7	89	11124
8	99	10952
9	109	10833
10	118	10615
11	126	10429
12	136	10382
13	145	10234
14	155	10243
15	165	10192
16	175	10156
17	184	10083
18	192	9963
19	202	9916
20	210	9809
21	219	9764
22	227	9684
23	236	9614
24	244	9550
25	253	9493
26	263	9504
27	274	9539
28	284	9536
29	296	9589
30	305	9563
31	315	9548
32	324	9503
33	334	9491
34	342	9433
35	350	9394
36	360	9383
37	370	9389
38	379	9358
39	388	9316
40	397	9288
41	407	9286
42	416	9272
43	426	9262
44	436	9271
45	446	9269
46	455	9234
47	465	9239
48	475	9231
49	485	9231
50	495	9213
51	503	9181
52	513	9176
53	522	9159
54	532	9142
55	541	9130
56	550	9105
57	560	9096
58	570	9106
59	581	9112
60	591	9098
61	601	9103
62	611	9087
63	619	9061
64	629	9056
65	638	9032
66	647	9018
67	656	8998
68	665	8976
69	674	8962
70	683	8949
71	693	8935
72	702	8925
73	712	8922
74	723	8923
75	733	8918
76	743	8917
77	753	8903
78	762	8888
79	771	8870
80	783	8889
81	794	8890
82	804	8883
83	816	8899
84	828	8919
85	841	8945
86	855	8974
87	867	8992
88	882	9035
89	897	9079
90	915	9142
91	931	9191
92	945	9216
93	959	9245
94	975	9293
95	989	9317
96	1000	9312
97	1011	9310
98	1023	9312
99	1034	9310
100	1046	9316
101	1057	9306
102	1069	9312
103	1082	9325
104	1093	9319
105	1103	9308
106	1113	9296
107	1126	9307
108	1136	9292
109	1148	9293
110	1160	9297
111	1170	9283
112	1180	9267
113	1190	9255
114	1203	9261
115	1215	9264
116	1226	9255
117	1236	9244
118	1246	9229
119	1256	9210
120	1264	9185
121	1272	9161
122	1282	9143
123	1291	9122
124	1299	9099
125	1308	9076
126	1317	9057
127	1326	9034
128	1335	9017
129	1344	8997
130	1355	8994
131	1365	8977
132	1376	8970
133	1386	8961
134	1394	8936
135	1403	8918
136	1412	8897
137	1421	8878
138	1429	8854
139	1439	8843
140	1449	8829
141	1457	8806
142	1468	8799
143	1477	8781
144	1486	8765
145	1495	8746
146	1505	8738
147	1516	8727
148	1525	8715
149	1535	8702
150	1544	8685
151	1554	8673
152	1563	8656
153	1572	8640
154	1583	8631
155	1593	8619
156	1602	8604
157	1610	8584
158	1621	8575
159	1631	8564
160	1639	8542
161	1650	8535
162	1661	8530
163	1672	8527
164	1684	8524
165	1692	8504
166	1701	8488
167	1710	8471
168	1718	8451
169	1728	8438
170	1737	8422
171	1746	8405
172	1755	8392
173	1765	8382
174	1775	8368
175	1785	8359
176	1796	8351
177	1805	8337
178	1815	8326
179	1825	8314
180	1834	8299
181	1844	8291
182	1853	8276
183	1862	8261
184	1871	8244
185	1881	8234
186	1891	8225
187	1902	8216
188	1913	8210
189	1922	8194
190	1931	8179
191	1939	8162
192	1950	8156
193	1961	8148
194	1971	8137
195	1983	8137
196	1995	8132
197	2006	8125
198	2017	8120
199	2030	8120
200	2041	8115
201	2051	8103
202	2061	8094
203	2073	8090
204	2084	8082
205	2098	8089
206	2108	8079
207	2120	8075
208	2130	8063
209	2140	8053
210	2148	8034
211	2158	8022
212	2167	8008
213	2176	7994
214	2186	7982
215	2196	7971
216	2205	7959
217	2217	7954
218	2227	7945
219	2238	7934
220	2247	7921
221	2256	7907
222	2264	7891
223	2275	7883
224	2284	7868
225	2294	7856
226	2303	7843
227	2311	7827
228	2321	7815
229	2331	7804
230	2341	7793
231	2349	7778
232	2360	7769
233	2370	7760
234	2380	7748
235	2389	7737
236	2398	7721
237	2407	7706
238	2416	7693
239	2426	7683
240	2434	7668
241	2443	7653
242	2454	7645
243	2462	7631
244	2474	7625
245	2484	7613
246	2492	7598
247	2503	7590
248	2512	7578
249	2524	7573
250	2535	7565
251	2544	7553
252	2554	7541
253	2563	7530
254	2573	7518
255	2583	7508
256	2592	7494
257	2601	7481
258	2610	7468
259	2620	7456
260	2628	7443
261	2639	7435
262	2647	7418
263	2656	7405
264	2665	7392
265	2674	7380
266	2683	7368
267	2692	7355
268	2704	7349
269	2713	7336
270	2724	7327
271	2733	7316
272	2742	7303
273	2753	7295
274	2761	7280
275	2771	7269
276	2780	7258
277	2789	7245
278	2799	7235
279	2808	7222
280	2818	7211
281	2826	7197
282	2837	7189
283	2847	7179
284	2859	7172
285	2869	7162
286	2877	7148
287	2886	7135
288	2895	7123
289	2903	7108
290	2913	7099
